Position_X,Position_Y,Position_Z,Velocity_X,Velocity_Y,Velocity_Z,Rotation_X,Rotation_Y,Rotation_Z,Raycast_1,Raycast_2,Raycast_3,Raycast_4,Raycast_5,Raycast_6,Raycast_7,Raycast_8,Score,Pedal,Steering
-81.87298,1.41833,-36.71243,-14.05212,0.3861441,-54.95962,359.5487,197.8288,1.14236,100,68.59444,5.604349,44.50133,100,33.09962,15.87584,16.98723,0,1,0
-82.14614,1.418428,-37.79665,-13.89334,0.008714919,-54.18995,359.498,197.7132,1.377037,100,68.21213,5.016551,44.85868,100,32.37903,15.58042,16.69883,0,1,0
-82.42105,1.417277,-38.87692,-13.84402,-0.05410247,-53.76896,359.7064,197.6181,1.54771,100,67.77126,4.927381,45.20844,100,31.67992,15.28445,16.40405,0,1,0
-82.69695,1.414213,-39.95972,-13.80144,-0.1477562,-53.72281,0.1078687,197.659,1.683292,100,64.88979,5.210276,45.50247,100,31.12303,14.99834,16.08731,0,1,0.02837538
-82.97591,1.4107,-41.03905,-13.75917,-0.1736805,-53.68128,0.4389554,197.8082,1.59062,100,57.12622,5.499251,45.75206,100,30.66519,14.71629,15.75095,0,1,0.0880935
-83.2596,1.41459,-42.10178,-13.68775,0.1855002,-53.29072,0.4399547,198.1305,1.066526,99.41199,67.03408,5.798797,45.93242,100,30.36865,14.4418,15.38549,0,1,0.14947
-83.54388,1.422911,-43.14355,-13.54047,0.4082144,-52.5608,0.1972465,198.5285,0.27056,98.58401,66.97314,6.103345,46.08557,100,30.14866,14.1735,15.01282,0,1,0.188739
-83.82548,1.428357,-44.16902,-13.40682,0.2763681,-51.8371,359.8783,199.0067,359.4423,97.82121,66.99584,6.410801,46.21087,100,30.02272,13.9164,14.63829,0,1,0.132089
-84.10167,1.421607,-45.18291,-13.2998,-0.3253622,-51.11618,359.6556,199.5413,358.8136,97.13223,66.91102,6.717792,46.3141,100,29.97308,13.67057,14.26814,0,1,0.07087776
-84.3749,1.405615,-46.18514,-13.1962,-0.7829504,-50.40844,359.5486,200.0714,358.266,96.53486,66.82919,7.024681,46.42124,100,29.92939,13.42795,13.90691,0,1,0.009589138
-84.64697,1.391365,-47.17956,-13.0781,-0.6923282,-49.71698,359.7547,200.4933,357.7664,95.85331,66.68633,7.338203,46.57398,100,29.77186,13.17828,13.56388,0,1,0
-84.9156,1.388096,-48.17034,-13.04034,-0.1484349,-49.19847,0.2327588,200.7745,357.5181,95.08807,66.4436,7.644228,14.19506,100,29.45577,12.91912,13.24197,0,1,0
-85.17451,1.391725,-49.15258,-13.00244,0.1774874,-48.69931,0.613153,200.961,357.7245,94.2224,66.12144,7.927023,14.29383,100,29.03082,12.65695,12.93861,0,1,0
-85.42518,1.395329,-50.11963,-12.89697,0.1646517,-48.05005,0.7700825,201.0268,358.1817,93.22944,65.71627,8.184595,14.40246,100,28.47429,12.39021,12.65499,0,1,0
-85.66911,1.395764,-51.06855,-12.73151,0.003096391,-47.24841,0.7624902,201.0369,358.7621,92.18811,65.21191,8.424134,14.51495,100,27.86976,12.1256,12.38402,0,1,0
-85.90858,1.39026,-52.0004,-12.56594,-0.2902033,-46.46217,0.669269,200.999,359.3716,91.11003,64.69712,8.611251,14.63409,100,27.22921,11.86313,12.12334,0,1,0
-86.14483,1.377259,-52.91595,-12.40303,-0.6591142,-45.69045,0.5357683,200.921,359.9623,90.00703,64.1769,8.730412,14.76048,100,26.56294,11.60276,11.87091,0,1,0
-86.38067,1.361425,-53.81703,-12.30655,-0.7961671,-45.10065,0.3050827,200.8558,0.4332352,88.94675,63.67654,8.964344,14.91208,100,25.91984,11.34547,11.6185,0,1,0
-86.6225,1.352557,-54.70987,-12.33482,-0.4458943,-44.85435,0.01562366,200.798,0.5872856,87.92382,63.18976,9.187494,48.60599,100,25.27356,11.08285,11.3589,0,1,0
-86.87146,1.361014,-55.59901,-12.35715,0.4215948,-44.61026,359.9028,200.7481,0.445438,86.91555,62.71429,9.394096,48.89756,100,24.61784,10.81277,11.09015,0,1,0
-87.12489,1.375035,-56.48515,-12.38591,0.7015035,-44.36646,359.9488,200.7052,0.1524604,85.9181,62.24858,9.630654,49.19104,100,23.95979,10.53845,10.8156,0,1,0
-87.379,1.379469,-57.36764,-12.41768,0.2238919,-44.12769,0.04895421,200.6683,359.877,84.93082,61.79022,9.909349,49.4842,100,23.30883,10.26427,10.53985,0,1,0
-87.62946,1.373518,-58.23916,-12.31956,-0.2949906,-43.56559,0.1306368,200.543,359.686,83.88445,61.29674,10.08995,49.80909,100,22.59229,9.988536,10.2753,0,1,0
-87.8757,1.363685,-59.10367,-12.28568,-0.4910488,-43.18068,0.1808851,200.3958,359.6749,82.83083,60.79587,10.25659,50.13848,100,21.87412,9.716272,10.01654,0,1,0
-88.11916,1.359241,-59.96413,-12.31376,-0.2236619,-42.97087,0.1798675,200.2791,359.827,81.8084,60.31049,10.41059,50.4529,100,21.1946,9.449251,9.757788,0,1,0
-88.36233,1.364004,-60.82047,-12.33781,0.2366226,-42.76724,0.1636275,200.1855,0.01423158,80.82916,59.83955,10.55378,50.75853,100,20.54001,9.184402,9.534666,0,1,0
-88.60686,1.371371,-61.67213,-12.35766,0.3675116,-42.56783,0.1319493,200.1092,0.1437797,79.87294,59.36428,10.68697,51.05944,100,19.90013,8.919516,9.312672,0,1,0
-88.85354,1.373671,-62.519,-12.37633,0.1145263,-42.37136,0.09009101,200.0459,0.1742791,78.93081,58.86039,10.81,51.35776,100,19.26829,8.653352,9.124198,0,1,0
-89.10221,1.369883,-63.36168,-12.39424,-0.1895214,-42.17864,0.06078056,199.993,0.1206224,78.00023,58.36462,10.92181,51.65422,100,18.6418,8.385805,8.983145,0,1,0
-89.3521,1.365119,-64.20099,-12.4104,-0.2377792,-41.99044,0.06617504,199.9486,0.03120388,77.07908,57.87539,11.02077,51.94868,100,18.02072,8.117597,8.864169,0,1,0
-89.60223,1.364225,-65.03732,-12.42512,-0.04392384,-41.80678,0.103056,199.9116,359.9561,76.16596,57.39129,11.10524,52.24062,100,17.40595,7.849661,8.817977,0,1,0
-89.85186,1.367114,-65.87038,-12.43866,0.1450274,-41.62765,0.1423212,199.8809,359.924,75.26041,56.91152,11.17397,52.52949,100,16.79804,7.582704,8.794218,0,1,0
-90.10072,1.370017,-66.69975,-12.45047,0.1451822,-41.45271,0.1546665,199.8556,359.936,74.36206,56.43586,11.26339,52.81529,100,16.19651,7.316897,8.861671,0,1,0
-90.34911,1.370062,-67.52528,-12.46065,0.001865989,-41.28151,0.1356821,199.8345,359.9737,73.47034,55.96424,11.32886,53.0988,100,15.59968,7.103347,8.970296,0,1,0
-90.59757,1.367897,-68.34729,-12.46984,-0.1087484,-41.11395,0.1062079,199.8166,0.01345567,72.58439,55.49646,11.38282,53.38112,100,15.00539,6.885341,9.173093,0,1,0
-90.84658,1.366216,-69.16616,-12.47831,-0.08436163,-40.94994,0.09066371,199.801,0.03780602,71.70333,55.03227,11.42019,53.66317,100,14.41184,6.754311,9.476151,0,1,0.05551188
-91.09608,1.3666,-69.98215,-12.48611,0.01919676,-40.78936,0.09643266,199.8048,0.05233487,70.83572,54.57642,11.43671,53.9372,100,13.82782,6.624794,9.858817,0,1,0.1203816
-91.34579,1.368199,-70.79518,-12.49346,0.08003729,-40.63209,0.112236,199.845,0.06686981,69.98977,54.1335,11.43049,54.19533,100,13.26097,6.579435,10.44484,0,1,0.1749067
-91.59554,1.36913,-71.60505,-12.50087,0.04655235,-40.47788,0.1226462,199.9315,0.08612229,69.17025,53.69529,11.54529,54.43267,100,12.71438,6.534734,11.25072,0,1,0.2438942
-91.84521,1.368596,-72.41174,-12.50903,-0.0268238,-40.32641,0.1219624,200.0773,0.1145937,68.38304,53.21363,12.16676,54.64347,100,12.19148,6.566464,12.42267,0,1,0.2999037
-92.09493,1.367443,-73.21537,-12.51877,-0.05780985,-40.17737,0.1155152,200.2884,0.1490488,67.63068,52.7469,12.75421,54.82541,100,11.69163,6.602306,14.79596,0,1,0.378057
-92.34483,1.366956,-74.01614,-12.53111,-0.02449904,-40.03028,0.1109995,200.5765,0.1892629,66.91888,52.29776,13.32236,54.97403,100,11.21661,6.702478,87.3297,0,1,0.4152956
-92.5952,1.367478,-74.81403,-12.54731,0.02601012,-39.88448,0.1108254,200.9382,0.2239161,66.24619,51.86633,13.8749,55.09223,100,10.85417,6.81427,86.90787,0,1,0.4799207
